,target,time,turkId
19496,0,185.96400500000001,ID7
19497,0,198.838005,ID7
19498,5,206.415005,ID7
19499,5,207.81100500000005,ID7
19500,5,208.257005,ID7
19502,3,209.6790000000001,ID7
19503,3,211.0130000000001,ID7
19505,5,211.83300500000007,ID7
19506,5,213.10000000000005,ID7
19508,2,215.1160050000001,ID7
19509,2,216.377005,ID7
19511,5,220.95800500000007,ID7
19512,5,221.906005,ID7
19514,0,223.45300500000008,ID7
19515,0,223.70800500000007,ID7
19517,0,227.359,ID7
19518,0,227.481,ID7
19520,0,230.14500500000003,ID7
19521,0,235.6160050000001,ID7
19522,5,238.963005,ID7
19523,5,242.2890050000001,ID7
19524,5,247.002005,ID7
19525,5,247.858005,ID7
19527,0,249.61700000000005,ID7
19528,0,249.822005,ID7
19530,3,251.459,ID7
19531,3,253.296,ID7
19532,3,254.45400000000006,ID7
19534,2,255.846,ID7
19535,2,256.461005,ID7
19536,2,257.2660000000001,ID7
19537,2,257.957,ID7
19538,2,258.921,ID7
19539,2,259.69500500000004,ID7
19541,0,260.942005,ID7
19542,0,261.161,ID7
19544,1,263.36400000000003,ID7
19545,1,265.005,ID7
19546,1,265.774,ID7
19548,3,267.314005,ID7
19549,3,268.731,ID7
19551,3,269.42400000000004,ID7
19552,3,271.31200000000007,ID7
19554,1,272.94500500000004,ID7
19555,1,275.040005,ID7
19557,3,276.118005,ID7
19558,3,277.81600000000003,ID7
19560,1,279.3110050000001,ID7
19561,1,279.837,ID7
19562,1,280.189005,ID7
19564,3,281.10400000000004,ID7
19565,3,282.481,ID7
19567,2,283.298005,ID7
19568,2,284.360005,ID7
19570,2,284.76800500000013,ID7
19571,2,286.45500500000014,ID7
19573,3,287.31,ID7
19574,3,288.4090050000001,ID7
19576,3,288.9930050000001,ID7
19577,3,290.05200000000013,ID7
19578,3,290.675005,ID7
19580,2,291.49000000000007,ID7
19581,2,292.64400000000006,ID7
19582,2,293.99700000000007,ID7
19583,2,294.1040000000001,ID7
19585,4,294.9290000000001,ID7
19586,4,296.596,ID7
19587,4,297.382005,ID7
19589,3,298.313,ID7
19590,3,299.80900500000007,ID7
19591,3,300.27800000000013,ID7
19592,3,303.08100000000013,ID7
19594,4,304.2190050000001,ID7
19595,4,306.99700000000007,ID7
19596,4,307.61500000000007,ID7
19598,0,310.12,ID7
19599,0,310.28300000000013,ID7
19601,0,319.91800000000006,ID7
19603,0,329.19,ID7
19605,1,333.485005,ID7
19607,1,334.07600000000014,ID7
19608,1,334.19900000000007,ID7
19609,1,334.43600500000014,ID7
19610,1,334.5340050000001,ID7
19611,1,334.77000500000014,ID7
19612,1,334.89400000000006,ID7
